Sr_no,Country,Population(2020),World_Share(%),Land_Area_Km²
1,India,1428627663,17.76,2973190
2,China,1425671352,17.72,9388211
3,United States,339996563,4.23,9147420
4,Indonesia,277534122,3.45,1811570
5,Pakistan,240485658,2.99,770880
6,Nigeria,223804632,2.78,910770
7,Brazil,216422446,2.69,8358140
8,Bangladesh,172954319,2.15,130170
9,Russia,144444359,1.8,16376870
10,Mexico,128455567,1.6,1943950
11,Ethiopia,126527060,1.57,1000000
12,Japan,123294513,1.53,364555
13,Philippines,117337368,1.46,298170
14,Egypt,112716598,1.4,995450
15,DR Congo,102262808,1.27,2267050
16,Vietnam,98858950,1.23,310070
17,Iran,89172767,1.11,1628550
18,Turkey,85816199,1.07,769630
19,Germany,83294633,1.04,348560
20,Thailand,71801279,0.89,510890
21,United Kingdom,67736802,0.84,241930
22,Tanzania,67438106,0.84,885800
23,France,64756584,0.8,547557
24,South Africa,60414495,0.75,1213090
25,Italy,58870762,0.73,294140
26,Kenya,55100586,0.68,569140
27,Myanmar,54577997,0.68,653290
28,Colombia,52085168,0.65,1109500
29,South Korea,51784059,0.64,97230
30,Uganda,48582334,0.6,199810
31,Sudan,48109006,0.6,1765048
32,Spain,47519628,0.59,498800
33,Argentina,45773884,0.57,2736690
34,Algeria,45606480,0.57,2381740
35,Iraq,45504560,0.57,434320
36,Afghanistan,42239854,0.53,652860
37,Poland,41026067,0.51,306230
38,Canada,38781291,0.48,9093510
39,Morocco,37840044,0.47,446300
40,Saudi Arabia,36947025,0.46,2149690
41,Ukraine,36744634,0.46,579320
42,Angola,36684202,0.46,1246700
43,Uzbekistan,35163944,0.44,425400
44,Yemen,34449825,0.43,527970
45,Peru,34352719,0.43,1280000
46,Malaysia,34308525,0.43,328550
47,Ghana,34121985,0.42,227540
48,Mozambique,33897354,0.42,786380
49,Nepal,30896590,0.38,143350
50,Madagascar,30325732,0.38,581795
51,Côte d'Ivoire,28873034,0.36,318000
52,Venezuela,28838499,0.36,882050
53,Cameroon,28647293,0.36,472710
54,Niger,27202843,0.34,1266700
55,Australia,26439111,0.33,7682300
56,North Korea,26160821,0.33,120410
57,Mali,23293698,0.29,1220190
58,Burkina Faso,23251485,0.29,273600
59,Syria,23227014,0.29,183630
60,Sri Lanka,21893579,0.27,62710
61,Malawi,20931751,0.26,94280
62,Zambia,20569737,0.26,743390
63,Romania,19892812,0.25,230170
64,Chile,19629590,0.24,743532
65,Kazakhstan,19606633,0.24,2699700
66,Chad,18278568,0.23,1259200
67,Ecuador,18190484,0.23,248360
68,Somalia,18143378,0.23,627340
69,Guatemala,18092026,0.22,107160
70,Senegal,17763163,0.22,192530
71,Netherlands,17618299,0.22,33720
72,Cambodia,16944826,0.21,176520
73,Zimbabwe,16665409,0.21,386850
74,Guinea,14190612,0.18,245720
75,Rwanda,14094683,0.18,24670
76,Benin,13712828,0.17,112760
77,Burundi,13238559,0.16,25680
78,Tunisia,12458223,0.15,155360
79,Bolivia,12388571,0.15,1083300
80,Haiti,11724763,0.15,27560
81,Belgium,11686140,0.15,30280
82,Jordan,11337052,0.14,88780
83,Dominican Republic,11332972,0.14,48320
84,Cuba,11194449,0.14,106440
85,South Sudan,11088796,0.14,610952
86,Sweden,10612086,0.13,410340
87,Honduras,10593798,0.13,111890
88,Czech Republic (Czechia),10495295,0.13,77240
89,Azerbaijan,10412651,0.13,82658
90,Greece,10341277,0.13,128900
91,Papua New Guinea,10329931,0.13,452860
92,Portugal,10247605,0.13,91590
93,Hungary,10156239,0.13,90530
94,Tajikistan,10143543,0.13,139960
95,United Arab Emirates,9516871,0.12,83600
96,Belarus,9498238,0.12,202910
97,Israel,9174520,0.11,21640
98,Togo,9053799,0.11,54390
99,Austria,8958960,0.11,82409
100,Switzerland,8796669,0.11,39516
101,Sierra Leone,8791092,0.11,72180
102,Laos,7633779,0.09,230800
103,Serbia,7149077,0.09,87460
104,Nicaragua,7046310,0.09,120340
105,Libya,6888388,0.09,1759540
106,Paraguay,6861524,0.09,397300
107,Kyrgyzstan,6735347,0.08,191800
108,Bulgaria,6687717,0.08,108560
109,Turkmenistan,6516100,0.08,469930
110,El Salvador,6364943,0.08,20720
111,Congo,6106869,0.08,341500
112,Singapore,6014723,0.07,700
113,Denmark,5910913,0.07,42430
114,Slovakia,5795199,0.07,48088
115,Central African Republic,5742315,0.07,622980
116,Finland,5545475,0.07,303890
117,Norway,5474360,0.07,365268
118,Liberia,5418377,0.07,96320
119,State of Palestine,5371230,0.07,6020
120,Lebanon,5353930,0.07,10230
121,New Zealand,5228100,0.06,263310
122,Costa Rica,5212173,0.06,51060
123,Ireland,5056935,0.06,68890
124,Mauritania,4862989,0.06,1030700
125,Oman,4644384,0.06,309500
126,Panama,4468087,0.06,74340
127,Kuwait,4310108,0.05,17820
128,Croatia,4008617,0.05,55960
129,Eritrea,3748901,0.05,101000
130,Georgia,3728282,0.05,69490
131,Mongolia,3447157,0.04,1553560
132,Moldova,3435931,0.04,32850
133,Uruguay,3423108,0.04,175020
134,Bosnia and Herzegovina,3210847,0.04,51000
135,Albania,2832439,0.04,27400
136,Jamaica,2825544,0.04,10830
137,Armenia,2777970,0.03,28470
138,Gambia,2773168,0.03,10120
139,Lithuania,2718352,0.03,62674
140,Qatar,2716391,0.03,11610
141,Botswana,2675352,0.03,566730
142,Namibia,2604172,0.03,823290
143,Gabon,2436566,0.03,257670
144,Lesotho,2330318,0.03,30360
145,Guinea-Bissau,2150842,0.03,28120
146,Slovenia,2119675,0.03,20140
147,North Macedonia,2085679,0.03,25220
148,Latvia,1830211,0.02,62200
149,Equatorial Guinea,1714671,0.02,28050
150,Trinidad and Tobago,1534937,0.02,5130
151,Bahrain,1485509,0.02,760
152,Timor-Leste,1360596,0.02,14870
153,Estonia,1322765,0.02,42390
154,Mauritius,1300557,0.02,2030
155,Cyprus,1260138,0.02,9240
156,Eswatini,1210822,0.02,17200
157,Djibouti,1136455,0.01,23180
158,Fiji,936375,0.01,18270
159,Comoros,852075,0.01,1861
160,Guyana,813834,0.01,196850
161,Bhutan,787424,0.01,38117
162,Solomon Islands,740424,0.01,27990
163,Luxembourg,654768,0.01,2590
164,Montenegro,626485,0.01,13450
165,Suriname,623236,0.01,156000
166,Cabo Verde,598682,0.01,4030
167,Micronesia,544321,0.01,700
168,Malta,535064,0.01,320
169,Maldives,521021,0.01,300
170,Brunei ,452524,0.01,5270
171,Bahamas,412623,0.01,10010
172,Belize,410825,0.01,22810
173,Iceland,375318,0.0,100250
174,Vanuatu,334506,0.0,12190
175,Barbados,281995,0.0,430
176,Sao Tome & Principe,231856,0.0,960
177,Samoa,225681,0.0,2830
178,Saint Lucia,180251,0.0,610
179,Kiribati,133515,0.0,810
180,Grenada,126183,0.0,340
181,Tonga,107773,0.0,720
182,Seychelles,107660,0.0,460
183,St. Vincent & Grenadines,103698,0.0,390
184,Antigua and Barbuda,94298,0.0,440
185,Andorra,80088,0.0,470
186,Dominica,73040,0.0,750
187,Saint Kitts & Nevis,47755,0.0,260
188,Marshall Islands,41996,0.0,180
189,Liechtenstein,39584,0.0,160
190,Monaco,36297,0.0,1
191,San Marino,33642,0.0,60
192,Palau,18058,0.0,460
193,Nauru,12780,0.0,20
194,Tuvalu,11396,0.0,30
195,Holy See,518,0.0,0
